id,avg readme length,# readme links,% not acc. links,readme ds reference,# licences,# os licenses,avg CCR,avg pylint score,# rdm seed lines,% fixed rdm seed,MS used?,# HP-logging indicators,% pub avail. libs,# config files,% strict decl. In conf,% decl. In conf of used in sc,# DSFC in sc,OOTB
1,222.0,3,0.0,1,1,1,6.44,3.61,42,100.0,Yes,0,100.0,1,100.0,87.5,2,Not tested
2,83.0,4,0.0,0,0,0,4.4,7.53,33,100.0,No,0,100.0,1,100.0,53.85,3,Not tested
3,141.0,14,7.14,1,1,1,1.36,4.66,11,100.0,Yes,0,100.0,1,100.0,100.0,1,Not tested
4,79.0,4,0.0,0,1,1,1.59,5.24,4,75.0,No,0,88.89,1,0.0,44.44,1,Not tested
5,68.0,29,6.9,1,1,1,8.73,5.62,13,100.0,No,0,100.0,2,40.0,50.0,0,Not tested
6,41.5,5,0.0,1,1,1,3.32,5.8,6,100.0,No,18,80.0,1,100.0,26.67,7,Not tested
7,46.0,2,0.0,1,1,1,7.72,3.64,5,100.0,Yes,0,100.0,1,100.0,18.18,1,Not tested
8,103.0,24,0.0,1,1,1,5.27,5.94,4,100.0,Yes,0,90.91,1,10.0,63.64,1,Not tested
9,131.0,4,0.0,1,1,1,8.01,-6.19,3,100.0,Yes,0,100.0,1,33.33,60.0,0,Not tested
10,23.33,10,0.0,0,2,2,3.29,6.45,0,0,Yes,0,87.5,1,100.0,25.0,6,Not tested
11,26.0,4,0.0,1,1,1,7.98,2.97,16,100.0,Yes,0,88.89,1,100.0,66.67,3,Not tested
12,126.0,1,100.0,0,1,1,1.08,7.17,3,100.0,No,0,100.0,1,50.0,100.0,1,Not tested
13,161.0,31,0.0,1,1,1,6.05,6.32,8,100.0,Yes,0,94.74,1,0.0,36.84,2,Not tested
14,83.0,1,0.0,0,1,1,8.86,-1.4,3,100.0,Yes,0,100.0,1,0.0,80.0,3,Not tested
15,134.0,2,0.0,1,1,1,507,5.42,9,100.0,No,0,100.0,1,100.0,100.0,1,Not tested
16,292.0,19,94.74,1,1,1,5.41,6.01,9,100.0,Yes,0,83.33,1,100.0,50.0,0,Not tested
17,80.5,10,10.0,1,1,1,52.5,6.4,16,100.0,Yes,0,100.0,1,100.0,66.67,9,Not tested
18,15.0,1,0.0,0,1,1,4.18,3.37,41,100.0,Yes,0,100.0,0,0,0.0,0,Not tested
19,26.0,0,0,0,1,1,4.75,5.89,2,100.0,No,0,100.0,0,0,0.0,0,Not tested
20,81.0,12,0.0,1,0,0,13.4,6.78,7,100.0,No,0,100.0,0,0,0.0,0,Not tested
