mean_readme_length,readme_links,pct_not_acc_links,dataset_found,licences,os_licenses,mean_CCR,mean_pylint_score,rdm_seed_lines,pct_fixed_rdm_seed,MS_used,HPL_used,pct_pub_avail_libs,pct_strict_decl_in_conf,pct_decl_in_conf_of_used_in_sc,reproducible
222.0,3,0.0,1,1,1,6.44,3.61,42,100.0,1,0,100.0,100.0,87.5,1
83.0,4,0.0,1,0,0,4.4,7.53,33,100.0,0,0,100.0,100.0,53.85,1
141.0,14,7.14,1,1,1,1.36,4.66,11,100.0,1,0,100.0,100.0,100.0,1
79.0,4,0.0,1,1,1,1.59,5.24,4,75.0,0,0,88.89,0.0,44.44,1
68.0,29,6.9,1,1,1,8.73,5.62,13,100.0,0,0,100.0,40.0,50.0,1
41.5,5,0.0,1,1,1,3.32,5.8,6,100.0,0,1,80.0,100.0,26.67,1
46.0,2,0.0,1,1,1,7.72,3.64,5,100.0,1,0,100.0,100.0,18.18,1
103.0,24,0.0,1,1,1,5.27,5.94,4,100.0,1,0,90.91,10.0,63.64,1
131.0,4,0.0,1,1,1,8.01,-6.19,3,100.0,1,0,100.0,33.33,60.0,1
23.33,10,0.0,1,2,2,3.29,6.45,0,0,1,0,87.5,100.0,25.0,1
26.0,4,0.0,1,1,1,7.98,2.97,16,100.0,1,0,88.89,100.0,66.67,1
126.0,1,100.0,1,1,1,1.08,7.17,3,100.0,0,0,100.0,50.0,100.0,1
161.0,31,0.0,1,1,1,6.05,6.32,8,100.0,1,0,94.74,0.0,36.84,1
83.0,1,0.0,1,1,1,8.86,-1.4,3,100.0,1,0,100.0,0.0,80.0,1
134.0,2,0.0,1,1,1,507,5.42,9,100.0,0,0,100.0,100.0,100.0,1
292.0,19,94.74,1,1,1,5.41,6.01,9,100.0,1,0,83.33,100.0,50.0,1
80.5,10,10.0,1,1,1,52.5,6.4,16,100.0,1,0,100.0,100.0,66.67,1
15.0,1,0.0,0,1,1,4.18,3.37,41,100.0,1,0,100.0,0,0.0,1
26.0,0,0,0,1,1,4.75,5.89,2,100.0,0,0,100.0,0,0.0,1
81.0,12,0.0,1,0,0,13.4,6.78,7,100.0,0,0,100.0,0,0.0,1
90.0,1,100.0,0,1,1,1.07,0.0,3,100.0,0,0,100.0,25.0,80.0,0
0,0,0,0,0,0,0.77,-7.0,0,0,0,0,100.0,0,0.0,0
2.0,0,0,0,0,0,5.86,5.49,1,0.0,0,0,100.0,0,0.0,0
2.0,1,0.0,0,1,1,2.82,3.67,0,0,1,0,100.0,0,0.0,0
7.0,2,0.0,0,1,1,4.41,4.84,0,0,0,0,100.0,0,0.0,0
4.0,1,0.0,1,0,0,6.02,4.58,0,0,0,0,100.0,0,0.0,0
32.0,1,0.0,1,1,1,4.25,0.99,2,50.0,1,0,100.0,0,0.0,0
0,0,0,0,1,1,27.5,3.18,4,100.0,1,0,83.33,0,0.0,0
2.0,0,0,0,0,0,5.61,1.5,8,100.0,0,0,100.0,0,0.0,0
11.0,0,0,0,0,0,7.84,0.0,0,0,0,0,100.0,0,0.0,0
9.0,1,0.0,0,1,1,1.5,3.75,1,100.0,0,0,100.0,0,0.0,0
2.0,0,0,0,0,0,18.8,5.86,0,0,0,0,100.0,0,0.0,0
4.0,1,0.0,0,0,0,6.08,-1.14,0,0,0,0,100.0,93.75,66.67,0
0,0,0,0,0,0,4.77,0.03,1,100.0,0,0,70.0,0,0.0,0
21.0,3,0.0,1,0,0,3.86,-1.49,3,33.33,0,0,100.0,0,0.0,0
18.0,0,0,0,1,1,11.71,6.22,12,83.33,0,0,91.67,100.0,75.0,0
6.0,1,0.0,0,1,1,25.56,7.34,13,76.92,0,0,88.89,100.0,77.78,0
3.0,0,0,0,0,0,16.18,-2.74,10,100.0,1,0,92.86,0,0.0,0
18.0,2,0.0,1,0,0,4.33,4.66,4,75.0,0,0,60.0,0,0.0,0
0,0,0,0,0,0,22.6,5.35,0,0,0,0,100.0,0,0.0,0
