,SCAD_score,SE_score,DSA_score,RSC_score,MS_score,HPL_score,label
0,0.4,0.2,1,1.0,1,0,0
1,0.08,0.2,0,0.0,1,0,1
2,0.13,0.2,0,0.0,1,0,1
3,0.19,0.2,0,0.0,1,0,1
4,0.2,0.2,1,0.0,1,0,1
5,0.37,0.2,0,0.0,0,0,1
6,0.38,0.2,0,0.0,0,0,1
7,0.08,0.56,0,0.0,1,0,1
8,0.1,0.2,0,1.0,1,0,0
9,0.14,0.2,0,1.0,1,0,0
10,0.13,0.2,0,0.0,1,0,1
11,0.32,0.6,1,1.0,0,0,0
12,0.4,0.2,0,0.0,0,0,1
13,0.43,0.2,0,0.0,0,0,1
14,0.81,0.17,1,1.0,1,0,0
15,0.2,1.0,0,0.0,0,0,1
16,0.1,0.2,0,0.0,0,0,1
17,0.68,0.8,1,0.0,0,0,1
18,0.27,0.2,1,1.0,0,0,0
19,0.1,0.2,1,0.0,0,0,1
20,0.17,1.0,0,0.0,0,0,1
21,0.1,0.2,0,1.0,0,0,0
22,0.83,0.16,1,1.0,0,0,0
23,0.5,0.2,0,0.0,0,0,1
24,0.19,0.2,1,1.0,1,0,0
25,0.2,0.64,1,1.0,0,0,0
26,0.14,0.2,0,0.0,0,0,1
27,0.52,0.2,1,1.0,0,0,0
28,0.47,0.2,1,0.0,0,0,1
29,0.67,0.73,1,1.0,0,0,0
30,0.5,0.7,0,0.0,0,0,1
31,0.54,0.6,0,1.0,1,0,0
32,0.24,0.2,1,0.0,1,0,1
33,1.0,1.0,1,1.0,1,0,0
34,0.8,0.2,1,1.0,0,0,0
35,0.4,0.38,1,0.0,0,0,1
36,0.2,0.46,0,0.0,0,0,1
37,0.2,0.56,1,0.0,0,0,1
38,0.76,1.0,0,1.0,0,0,0
39,0.81,0.6,0,1.0,0,0,0
40,0.37,1.0,1,1.0,0,0,0
41,0.51,0.2,1,0.0,0,0,1
42,0.32,0.2,1,0.0,0,0,1
43,0.16,0.18,1,0.0,0,0,1
44,0.53,0.82,1,1.0,1,0,0
45,0.1,0.2,1,0.0,1,0,1
46,0.4,1.0,1,0.0,0,0,1
47,0.54,0.18,1,0.0,1,0,1
48,0.17,0.44,1,0.0,0,0,1
49,0.53,0.3,1,0.0,1,0,1
50,0.89,0.2,1,0.0,0,0,1
51,0.2,0.2,1,0.0,1,0,1
52,0.73,0.71,1,0.8,0,0,0
53,0.27,0.2,1,1.0,1,0,0
54,0.35,0.1,1,0.0,0,0,1
55,0.22,0.68,0,1.0,1,1,0
56,0.12,0.18,0,1.0,0,0,0
57,0.11,0.19,1,0.0,0,0,1
58,0.24,0.2,1,0.0,0,0,1
59,0.08,0.2,1,0.0,0,0,1
60,0.27,0.2,1,0.0,0,0,1
61,0.58,0.88,1,1.0,0,0,0
62,0.5,0.98,1,1.0,0,0,0
63,0.48,0.2,1,0.0,0,0,1
64,0.56,0.2,1,1.0,1,0,0
65,0.97,0.86,1,1.0,1,0,0
66,0.74,0.2,1,1.0,0,0,0
67,0.0,0.99,1,0.0,0,0,1
68,0.22,0.2,1,0.0,0,0,1
69,0.27,0.88,1,1.0,0,0,0
70,0.57,0.2,1,0.0,0,0,1
71,1.0,0.2,1,0.0,0,0,1
72,0.1,0.9,1,1.0,0,0,0
73,0.18,0.2,0,0.0,1,0,1
74,0.58,0.2,0,0.0,0,0,1
75,0.54,0.76,1,0.0,1,0,1
76,0.53,0.84,1,1.0,0,0,0
77,0.39,0.69,1,1.0,1,1,0
78,0.96,0.2,1,1.0,1,0,0
79,0.9,0.08,1,0.93,0,0,0
80,0.15,0.18,1,1.0,0,0,0
81,0.38,0.73,1,1.0,0,0,0
82,0.15,0.2,0,0.0,0,0,1
83,0.58,0.17,1,1.0,0,0,0
84,0.3,0.2,1,0.0,0,0,1
85,0.2,0.17,0,1.0,1,0,0
86,0.74,0.77,1,1.0,1,0,0
87,0.44,0.2,0,0.0,0,0,1
88,0.64,0.18,1,1.0,1,0,0
89,0.18,0.2,1,1.0,0,0,0
90,0.97,0.64,1,1.0,1,0,0
91,0.77,0.2,0,0.0,0,0,1
92,0.5,0.2,0,0.0,0,0,1
93,0.49,0.8,1,0.0,1,0,1
94,0.41,0.91,1,1.0,0,0,0
95,1.0,0.47,1,0.0,1,0,1
96,0.37,0.42,0,1.0,0,0,0
97,0.4,1.0,0,0.0,0,0,1
98,0.55,0.2,0,0.0,1,0,1
99,0.14,0.8,1,1.0,0,0,0
100,0.67,0.71,0,0.0,0,0,1
101,0.5,0.16,1,0.0,1,0,1
102,0.48,0.17,1,1.0,1,0,0
103,0.08,0.2,0,0.0,0,0,1
104,0.28,0.16,1,0.0,1,0,1
105,0.45,0.2,0,1.0,0,0,0
106,0.86,0.2,0,0.0,1,0,1
107,0.84,0.2,1,1.0,1,0,0
108,0.6,0.2,0,1.0,1,0,0
109,0.52,0.2,0,0.81,1,0,0
110,0.88,0.2,1,0.0,0,1,1
111,0.85,0.13,1,1.0,1,0,0
112,0.95,0.3,1,1.0,1,0,0
113,0.92,0.2,1,1.0,1,0,0
114,1.0,0.43,1,1.0,1,0,0
115,0.5,0.18,1,1.0,1,1,0
116,0.0,0.2,0,0.0,1,0,1
117,0.92,0.2,1,1.0,1,0,0
118,0.9,0.2,1,1.0,1,0,0
119,0.69,0.9,1,1.0,0,0,0
120,0.64,0.2,1,1.0,1,0,0
121,0.67,0.2,1,1.0,1,0,0
122,0.17,0.2,1,1.0,1,0,0
123,0.22,0.2,1,1.0,0,0,0
124,0.26,0.2,1,0.0,1,1,1
125,0.22,0.2,1,1.0,1,0,0
126,1.0,0.18,1,1.0,1,1,0
127,0.53,0.2,1,0.0,1,0,1
128,0.23,1.0,1,1.0,1,0,0
129,0.74,0.2,1,0.0,1,0,1
130,0.96,0.41,1,1.0,1,1,0
131,0.16,0.2,1,0.0,0,0,1
132,0.68,0.18,0,1.0,1,0,0
133,0.13,0.2,1,0.0,0,0,1
134,0.56,0.2,0,0.0,0,0,1
135,0.9,0.2,1,1.0,0,0,0
136,0.86,0.46,1,1.0,0,0,0
137,0.82,0.6,1,0.0,1,0,1
138,0.9,0.2,1,0.0,0,0,1
139,0.56,0.4,0,1.0,1,0,0
140,0.99,0.35,1,1.0,1,0,0
141,0.63,0.58,1,1.0,1,0,0
142,0.79,0.2,1,1.0,1,1,0
143,0.74,0.29,1,1.0,1,1,0
144,0.15,0.2,0,1.0,1,0,0
145,1.0,0.2,1,1.0,1,0,0
146,1.0,0.59,1,0.96,1,0,0
147,0.38,0.18,1,1.0,1,0,0
148,0.61,0.2,1,0.0,1,0,1
149,0.66,0.4,0,1.0,1,0,0
150,0.97,0.85,1,1.0,1,1,0
151,1.0,0.4,1,0.0,0,0,1
152,0.66,0.62,1,0.0,1,0,1
153,0.54,0.19,1,1.0,1,0,0
154,0.91,0.33,1,1.0,1,0,0
155,1.0,0.2,1,1.0,1,0,0
156,0.9,0.43,1,1.0,1,0,0
157,0.99,0.4,1,0.0,0,0,1
158,0.7,0.19,1,1.0,1,0,0
159,0.58,0.2,0,0.0,1,0,1
160,1.0,0.45,1,0.0,1,1,1
161,0.77,0.19,1,1.0,1,0,0
162,1.0,0.34,1,1.0,1,0,0
163,0.99,0.2,1,0.0,1,0,1
164,0.59,0.19,1,1.0,1,0,0
165,0.81,0.36,1,1.0,1,0,0
