id,# readmes,mean readme lines,# readme links,% acc. links,found dataset,# licences,# os licenses,mean CCR,mean pylint score,# rs decl lines,% fixed rs lines,MS found,HPL found,% pub. avail. Libs,% strict decl. In conf,% decl. In conf to used in sc
0,1,6.0,0,100.0,1,1,1,1.54,-11.94,14,100.0,1,0,100.0,0,0.0
1,0,0,0,100.0,0,0,0,16.75,4.7,0,0,1,0,100.0,0,0.0
2,0,0,0,100.0,0,0,0,10.96,3.48,0,0,1,0,100.0,0,0.0
3,1,14.0,0,100.0,0,0,0,0.42,5.03,0,0,1,0,100.0,0,0.0
4,0,0,0,100.0,1,0,0,1.32,6.52,0,0,1,0,100.0,0,0.0
5,0,0,0,100.0,0,1,1,23.5,3.76,0,0,0,0,100.0,0,0.0
6,1,23.0,0,100.0,0,1,1,12.42,0.0,0,0,0,0,100.0,0,0.0
7,1,20.0,0,100.0,0,0,0,36.8,4.14,0,0,1,0,100.0,0.0,60.0
8,1,6.0,0,100.0,0,0,0,1.11,0.0,1,100.0,1,0,100.0,0,0.0
9,0,0,0,100.0,0,0,0,13.5,8.51,2,100.0,1,0,100.0,0,0.0
10,1,2.0,1,0.0,0,0,0,1.71,1.68,0,0,1,0,100.0,0,0.0
11,1,22.0,8,100.0,1,0,0,6.29,7.04,1,100.0,0,0,100.0,0.0,66.67
12,1,2.0,0,100.0,0,1,1,36.0,8.18,0,0,0,0,100.0,0,0.0
13,1,2.0,0,100.0,0,1,1,2.64,1.48,0,0,0,0,100.0,0,0.0
14,2,59.0,17,100.0,1,1,1,4.17,3.6,10,100.0,1,0,85.0,0,0.0
15,0,0,0,100.0,0,0,0,4.33,6.42,0,0,0,0,100.0,100.0,100.0
16,1,2.0,0,100.0,0,0,0,1.75,-7.11,0,0,0,0,100.0,0,0.0
17,1,84.0,6,66.66,1,0,0,9.69,5.36,0,0,0,0,100.0,100.0,66.67
18,3,38.33,8,100.0,1,0,0,47.0,5.22,3,100.0,0,0,100.0,0,0.0
19,1,1.0,0,100.0,1,0,0,36.8,6.93,0,0,0,0,100.0,0,0.0
20,1,2.0,0,100.0,0,0,0,7.5,4.0,0,0,0,0,100.0,100.0,100.0
21,1,2.0,0,100.0,0,0,0,5.15,0.2,1,100.0,0,0,100.0,0,0.0
22,1,54.0,6,100.0,1,1,1,6.2,8.13,1,100.0,0,0,80.0,0,0.0
