source code score,software env score,dataset availability score,random seed control score,model serialization score,hyperparameter logging score
0.4,0.2,1,1.0,1,0
0.08,0.2,0,0,1,0
0.13,0.2,0,0,1,0
0.19,0.2,0,0,1,0
0.2,0.2,1,0,1,0
0.37,0.2,0,0,0,0
0.38,0.2,0,0,0,0
0.08,0.56,0,0,1,0
0.1,0.2,0,1.0,1,0
0.14,0.2,0,1.0,1,0
0.13,0.2,0,0,1,0
0.32,0.6,1,1.0,0,0
0.4,0.2,0,0,0,0
0.43,0.2,0,0,0,0
0.81,0.17,1,1.0,1,0
0.2,1.0,0,0,0,0
0.1,0.2,0,0,0,0
0.68,0.8,1,0,0,0
0.27,0.2,1,1.0,0,0
0.1,0.2,1,0,0,0
0.17,1.0,0,0,0,0
0.1,0.2,0,1.0,0,0
0.83,0.16,1,1.0,0,0
0.5,0.2,0,0,0,0
0.19,0.2,1,1.0,1,0
0.2,0.64,1,1.0,0,0
0.14,0.2,0,0,0,0
0.52,0.2,1,1.0,0,0
0.47,0.2,1,0,0,0
0.67,0.73,1,1.0,0,0
0.5,0.7,0,0,0,0
0.54,0.6,0,1.0,1,0
0.24,0.2,1,0,1,0
1.0,1.0,1,1.0,1,0
0.8,0.2,1,1.0,0,0
0.4,0.38,1,0,0,0
0.2,0.46,0,0,0,0
0.2,0.56,1,0,0,0
0.76,1.0,0,1.0,0,0
0.81,0.6,0,1.0,0,0
0.37,1.0,1,1.0,0,0
0.51,0.2,1,0,0,0
0.32,0.2,1,0,0,0
0.16,0.18,1,0,0,0
0.53,0.82,1,1.0,1,0
0.1,0.2,1,0,1,0
0.4,1.0,1,0,0,0
0.54,0.18,1,0,1,0
0.17,0.44,1,0,0,0
0.53,0.3,1,0,1,0
0.89,0.2,1,0,0,0
0.2,0.2,1,0,1,0
0.73,0.71,1,0.8,0,0
0.27,0.2,1,1.0,1,0
0.35,0.1,1,0,0,0
0.22,0.68,0,1.0,1,1
0.12,0.18,0,1.0,0,0
0.11,0.19,1,0,0,0
0.24,0.2,1,0,0,0
0.08,0.2,1,0,0,0
0.27,0.2,1,0,0,0
0.58,0.88,1,1.0,0,0
0.5,0.98,1,1.0,0,0
0.48,0.2,1,0,0,0
0.56,0.2,1,1.0,1,0
0.97,0.86,1,1.0,1,0
0.74,0.2,1,1.0,0,0
0.0,0.99,1,0,0,0
0.22,0.2,1,0,0,0
0.27,0.88,1,1.0,0,0
0.57,0.2,1,0,0,0
1.0,0.2,1,0,0,0
0.1,0.9,1,1.0,0,0
0.18,0.2,0,0,1,0
0.58,0.2,0,0,0,0
0.54,0.76,1,0,1,0
0.53,0.84,1,1.0,0,0
0.39,0.69,1,1.0,1,1
0.96,0.2,1,1.0,1,0
0.9,0.08,1,0.93,0,0
0.15,0.18,1,1.0,0,0
0.38,0.73,1,1.0,0,0
0.15,0.2,0,0,0,0
0.58,0.17,1,1.0,0,0
0.3,0.2,1,0,0,0
0.2,0.17,0,1.0,1,0
0.74,0.77,1,1.0,1,0
0.44,0.2,0,0,0,0
0.64,0.18,1,1.0,1,0
0.18,0.2,1,1.0,0,0
0.97,0.64,1,1.0,1,0
0.77,0.2,0,0,0,0
0.5,0.2,0,0,0,0
0.49,0.8,1,0,1,0
0.41,0.91,1,1.0,0,0
1.0,0.47,1,0,1,0
0.37,0.42,0,1.0,0,0
0.4,1.0,0,0,0,0
0.55,0.2,0,0,1,0
0.14,0.8,1,1.0,0,0
