id,# readmes,mean readme lines,# readme links,% acc. links,dataset found,# licences,# os licenses,mean CCR,mean pylint score,# RS decl. Lines,% fixed RS lines,MS found,HPL found,% pub. Avail. Libs,% strict decl. In conf,% decl. In conf to used in sc
0,1,47.0,3,100.0,0,1,1,13.73,5.79,0,0,0,0,88.89,100.0,55.56
1,2,136.5,9,0.0,1,0,0,5.94,-0.01,0,0,1,0,77.78,0,0.0
2,2,54.5,13,92.31,1,0,0,4.83,2.97,3,100.0,1,0,86.36,0,0.0
3,1,25.0,0,100.0,0,0,0,98.5,2.36,0,0,0,0,100.0,0,0.0
4,2,24.5,11,100.0,1,0,0,5.82,2.32,0,0,1,0,78.57,0,0.0
5,1,8.0,1,100.0,0,1,1,8.42,2.82,4,100.0,0,0,100.0,0,0.0
6,1,65.0,6,83.33,0,1,1,10.26,4.7,0,0,1,0,100.0,0,0.0
7,1,93.0,1,0.0,1,1,1,8.01,2.15,8,100.0,1,0,100.0,0,0.0
8,1,89.0,6,83.33,0,0,0,2.46,-0.14,1,100.0,1,0,100.0,0,0.0
9,1,18.0,2,100.0,0,1,1,1.8,4.29,21,80.95,1,0,100.0,0,0.0
10,1,67.0,24,100.0,1,1,1,4.22,3.75,0,0,0,1,100.0,0,0.0
11,1,58.0,8,87.5,1,1,1,4.75,5.87,16,100.0,1,0,66.67,0,0.0
12,4,74.0,48,91.77,1,4,4,6.56,6.46,23,100.0,1,0,74.32,2.86,22.97
13,1,93.0,3,100.0,1,1,1,12.06,5.29,2,100.0,1,0,100.0,0,0.0
14,3,100.0,27,62.96,1,2,2,5.96,6.88,6,100.0,1,0,91.67,0.0,41.67
15,1,177.0,0,100.0,1,0,0,17.65,6.17,11,100.0,1,1,90.0,0,0.0
16,1,13.0,0,100.0,0,0,0,21.62,-6.22,0,0,1,0,100.0,0,0.0
17,1,99.0,11,81.82,1,1,1,9.3,1.94,6,100.0,1,0,100.0,0,0.0
18,1,134.0,9,77.78,1,1,1,11.39,2.54,6,100.0,1,0,100.0,0,0.0
19,2,91.0,17,100.0,1,0,0,6.31,5.2,18,100.0,0,0,100.0,100.0,83.33
20,1,58.0,2,100.0,1,1,1,37.42,3.11,4,100.0,1,0,100.0,0,0.0
21,1,35.0,3,100.0,1,1,1,3.61,5.95,5,100.0,1,0,100.0,0,0.0
22,1,11.0,0,100.0,1,0,0,8.23,4.08,2,100.0,1,0,100.0,0,0.0
23,1,36.0,0,100.0,1,0,0,5.06,-1.36,12,100.0,0,0,100.0,0,0.0
24,1,18.0,7,100.0,1,0,0,11.13,4.93,0,0,1,3,100.0,0,0.0
25,3,16.33,7,85.71,1,0,0,2.73,4.85,4,100.0,1,0,100.0,0,0.0
26,1,172.0,21,47.62,1,1,1,2.4,5.61,140,100.0,1,1,92.16,0,0.0
27,1,87.0,4,100.0,1,0,0,80.2,1.47,0,0,1,0,100.0,0,0.0
28,3,34.33,1,0.0,1,0,0,5.74,1.99,13,100.0,1,0,100.0,100.0,100.0
29,3,40.0,14,85.71,1,1,1,7.36,5.65,0,0,1,0,100.0,0,0.0
30,2,154.0,39,89.74,1,1,1,5.35,3.63,73,100.0,1,1,75.76,38.46,30.3
31,1,29.0,0,100.0,1,0,0,445,4.99,0,0,0,0,100.0,0,0.0
32,1,41.0,9,100.0,0,1,1,13.23,6.86,3,100.0,1,0,89.47,0,0.0
33,1,13.0,0,100.0,1,0,0,8.08,1.57,0,0,0,0,100.0,0,0.0
34,1,66.0,4,100.0,0,0,0,4.17,3.34,0,0,0,0,100.0,0,0.0
35,2,138.5,23,100.0,1,1,1,22.99,7.02,1,100.0,0,0,100.0,0,0.0
36,3,76.0,19,100.0,1,1,1,30.38,7.42,1,100.0,0,0,81.82,12.5,45.45
37,1,59.0,12,75,1,1,1,4.7,3.95,0,0,1,0,71.43,100.0,42.86
38,1,172.0,26,76.92,1,1,1,4.51,-2.36,0,0,0,0,100.0,0,0.0
39,1,21.0,4,50.0,0,1,1,5.35,6.37,7,100.0,1,0,71.43,0.0,42.86
40,1,142.0,15,100.0,1,1,1,5.98,4.89,2,100.0,1,0,61.9,0.0,38.1
41,1,70.0,12,100.0,1,0,0,6.25,5.47,2,100.0,1,0,92.86,0.0,64.29
42,1,48.0,7,100.0,1,1,1,3.1,6.85,6,100.0,1,1,100.0,0,0.0
43,87,41.38,541,93.9,1,6,6,4.19,7.36,46,100.0,1,1,81.43,0.0,21.43
44,0,0,0,100.0,0,0,0,3.04,3.12,3,100.0,1,0,100.0,0,0.0
45,1,103.0,10,100.0,1,1,1,4.52,6.94,8,100.0,1,0,100.0,0,0.0
46,3,92.33,42,100.0,1,4,4,6.46,5.72,26,96.15,1,0,89.66,98.67,34.48
47,1,36.0,3,100.0,1,0,0,3.35,5.87,6,100.0,1,0,87.5,0,0.0
48,1,47.0,4,100.0,1,1,1,16.37,1.76,0,0,1,0,100.0,0,0.0
49,1,37.0,3,100.0,0,1,1,10.35,5.59,3,100.0,1,0,100.0,100.0,0.0
50,1,125.0,6,100.0,1,1,1,11.08,6.14,16,100.0,1,1,86.67,100.0,80.0
51,2,146.0,18,88.89,1,1,1,2.88,7.83,0,0,0,0,100.0,100.0,0.0
52,1,285.0,78,98.72,1,0,0,10.57,4.53,0,0,1,0,100.0,44.44,55.56
53,1,182.0,22,100.0,1,0,0,14.39,1.28,54,100.0,1,0,94.74,0,0.0
54,1,225.0,32,100.0,1,1,1,15.43,6.7,1,100.0,1,0,91.67,0.0,25.0
55,1,106.0,31,70.97,1,1,1,6.94,6.77,7,100.0,1,0,100.0,0,0.0
56,1,154.0,16,81.25,1,1,1,47.13,5.47,6,100.0,1,0,91.67,0.0,41.67
57,1,193.0,12,83.33,1,1,1,7.03,5.36,0,0,0,0,92.86,0.0,35.71
58,2,89.5,17,88.24,1,0,0,2.38,8.05,23,100.0,1,0,93.1,0,0.0
59,1,104.0,28,78.57,0,0,0,22.68,4.84,0,0,1,0,100.0,0,0.0
60,2,108.5,28,92.86,1,1,1,6.47,6.91,0,0,1,1,100.0,60.0,22.22
61,5,61.0,20,100.0,1,1,1,18.19,6.34,5,100.0,1,0,94.12,0,0.0
62,3,98.33,15,100.0,1,1,1,5.08,5.81,1,100.0,1,0,91.3,14.29,21.74
63,1,113.0,16,81.25,1,1,1,5.01,5.11,0,0,1,0,100.0,0,0.0
64,1,195.0,20,100.0,1,0,0,15.82,5.14,6,100.0,1,0,92.59,0,0.0
65,85,51.61,1762,98.24,1,1,1,3.86,7.41,32,100.0,1,0,73.44,100.0,1.56
66,1,68.0,5,100.0,1,1,1,3.45,-0.37,2,100.0,0,0,84.62,70.0,46.15
67,1,156.0,14,100.0,1,1,1,7.43,4.86,13,100.0,1,0,78.57,100.0,64.29
68,3,78.0,95,93.68,1,1,1,9.35,3.66,2,100.0,1,1,60.0,0,0.0
69,1,92.0,5,100.0,1,1,1,2.44,-0.25,3,100.0,0,0,71.43,0.0,14.29
70,1,75.0,4,100.0,1,0,0,76.5,6.93,8,100.0,1,0,100.0,100.0,20.0
71,1,22.0,2,100.0,0,0,0,2.83,-5.15,0,0,0,0,100.0,0,0.0
72,3,70.0,29,93.1,0,2,2,8.84,5.47,0,0,1,0,80.0,43.75,45.0
73,1,147.0,7,85.71,1,0,0,6.32,6.13,7,100.0,1,0,100.0,100.0,50.0
74,2,142.0,41,97.56,1,2,2,4.66,5.88,9,100.0,1,0,84.0,89.47,36.0
75,1,70.0,3,100.0,1,0,0,3.2,6.47,3,100.0,1,0,100.0,90.91,46.15
76,3,34.0,29,65.52,1,1,1,8.45,3.09,25,100.0,0,0,86.36,98.44,45.45
77,2,166.5,74,97.3,1,2,2,7.0,6.06,23,100.0,1,0,90.0,100.0,45.0
78,1,177.0,48,83.33,1,1,1,18.76,6.15,6,100.0,1,0,100.0,100.0,42.86
79,5,114.6,78,88.46,1,12,12,4.67,-29.23,35,100.0,1,0,50.0,11.76,4.76
80,3,59.0,17,82.35,1,0,0,4.87,5.52,4,100.0,1,0,40.74,0,0.0
81,1,166.0,23,100.0,1,1,1,2.05,7.87,14,100.0,1,0,86.96,100.0,13.04
82,3,127.33,41,87.8,1,3,3,6.22,7.0,15,86.67,1,0,95.0,47.06,45.0
83,1,97.0,13,76.92,1,1,1,2.78,7.44,0,0,0,0,92.86,0,0.0
84,1,23.0,9,77.78,1,1,1,3.47,9.05,1,100.0,1,0,100.0,14.29,71.43
85,1,63.0,18,100.0,1,0,0,4.94,4.73,0,0,1,1,92.86,0,0.0
86,1,164.0,10,100.0,1,0,0,2.39,3.26,0,0,1,0,100.0,0.0,81.82
87,1,133.0,10,100.0,1,1,1,7.27,6.18,3,100.0,1,0,100.0,0.0,75.0
88,4,36.75,10,80,1,2,2,5.44,-0.57,30,100.0,1,1,80.0,0.0,60.0
89,2,37.0,2,100.0,1,0,0,4.34,4.37,4,100.0,1,0,100.0,0,0.0
90,1,6.0,0,100.0,0,0,0,3.51,5.94,1,100.0,1,0,93.75,0,0.0
91,1,80.0,0,100.0,0,0,0,23.29,6.4,23,100.0,0,0,100.0,0,0.0
92,1,82.0,0,100.0,1,0,0,9.57,7.66,2,100.0,0,0,83.33,0,0.0
93,1,184.0,55,96.36,1,1,1,4.93,0.05,1,100.0,0,0,83.33,0,0.0
94,10,19.5,20,100.0,0,1,1,3.94,6.95,13,100.0,1,1,92.31,44.68,57.69
95,2,19.0,4,100.0,1,1,1,0,0,0,0,0,0,0,0,0
96,2,71.0,7,85.71,1,1,1,2.46,9.5,1,100.0,0,0,85.71,0.0,64.29
97,1,80.0,5,100.0,0,0,0,3.69,3.47,3,100.0,1,0,66.67,0,0.0
98,2,38.5,5,100.0,1,3,3,6.25,5.82,6,100.0,1,0,100.0,0,0.0
99,1,116.0,13,100.0,1,1,1,4.92,0.57,0,0,1,1,93.33,100.0,86.67
