source code score,software env score,dataset availability score,random seed control score,model serialization score,hyperparameter logging score
0.67,0.71,0,0,0,0
0.5,0.16,1,0,1,0
0.48,0.17,1,1.0,1,0
0.08,0.2,0,0,0,0
0.28,0.16,1,0,1,0
0.45,0.2,0,1.0,0,0
0.86,0.2,0,0,1,0
0.84,0.2,1,1.0,1,0
0.6,0.2,0,1.0,1,0
0.52,0.2,0,0.81,1,0
0.88,0.2,1,0,0,1
0.85,0.13,1,1.0,1,0
0.95,0.3,1,1.0,1,0
0.92,0.2,1,1.0,1,0
1.0,0.43,1,1.0,1,0
0.5,0.18,1,1.0,1,1
0.0,0.2,0,0,1,0
0.92,0.2,1,1.0,1,0
0.9,0.2,1,1.0,1,0
0.69,0.9,1,1.0,0,0
0.64,0.2,1,1.0,1,0
0.67,0.2,1,1.0,1,0
0.17,0.2,1,1.0,1,0
0.22,0.2,1,1.0,0,0
0.26,0.2,1,0,1,1
0.22,0.2,1,1.0,1,0
1.0,0.18,1,1.0,1,1
0.53,0.2,1,0,1,0
0.23,1.0,1,1.0,1,0
0.74,0.2,1,0,1,0
0.96,0.41,1,1.0,1,1
0.16,0.2,1,0,0,0
0.68,0.18,0,1.0,1,0
0.13,0.2,1,0,0,0
0.56,0.2,0,0,0,0
0.9,0.2,1,1.0,0,0
0.86,0.46,1,1.0,0,0
0.82,0.6,1,0,1,0
0.9,0.2,1,0,0,0
0.56,0.4,0,1.0,1,0
0.99,0.35,1,1.0,1,0
0.63,0.58,1,1.0,1,0
0.79,0.2,1,1.0,1,1
0.74,0.29,1,1.0,1,1
0.15,0.2,0,1.0,1,0
1.0,0.2,1,1.0,1,0
1.0,0.59,1,0.96,1,0
0.38,0.18,1,1.0,1,0
0.61,0.2,1,0,1,0
0.66,0.4,0,1.0,1,0
0.97,0.85,1,1.0,1,1
1.0,0.4,1,0,0,0
0.66,0.62,1,0,1,0
0.54,0.19,1,1.0,1,0
0.91,0.33,1,1.0,1,0
1.0,0.2,1,1.0,1,0
0.9,0.43,1,1.0,1,0
0.99,0.4,1,0,0,0
0.7,0.19,1,1.0,1,0
0.58,0.2,0,0,1,0
1.0,0.45,1,0,1,1
0.77,0.19,1,1.0,1,0
1.0,0.34,1,1.0,1,0
0.99,0.2,1,0,1,0
0.59,0.19,1,1.0,1,0
0.81,0.36,1,1.0,1,0
0.81,0.59,1,1.0,0,0
0.99,0.75,1,1.0,1,0
0.92,0.12,1,1.0,1,1
0.9,0.23,1,1.0,0,0
0.55,0.52,1,1.0,1,0
0.16,0.2,0,0,0,0
0.93,0.52,0,0,1,0
0.7,0.7,1,1.0,1,0
1.0,0.57,1,1.0,1,0
0.59,0.66,1,1.0,1,0
0.65,0.64,1,1.0,0,0
1.0,0.65,1,1.0,1,0
0.9,0.66,1,1.0,1,0
0.9,0.15,1,1.0,1,0
0.55,0.08,1,1.0,1,0
1.0,0.45,1,1.0,1,0
1.0,0.55,1,0.87,1,0
1.0,0.19,1,0,0,0
0.63,0.66,1,1.0,1,0
0.56,0.19,1,0,1,1
0.66,0.69,1,0,1,0
1.0,0.65,1,1.0,1,0
0.55,0.52,1,1.0,1,1
0.3,0.2,1,1.0,1,0
0.2,0.19,0,1.0,1,0
0.49,0.2,0,1.0,0,0
0.59,0.17,1,1.0,0,0
0.9,0.17,1,1.0,0,0
0.55,0.62,0,1.0,1,1
0.44,1.0,1,0,0,0
0.9,0.56,1,1.0,0,0
0.65,0.13,0,1.0,1,0
0.68,0.2,1,1.0,1,0
0.91,0.91,1,0,1,1
