repository_url,# readmes,total readme lines,average readme lines,# readme links,# readme paper links,# not accessible links,% not accessible links,# licences,# open-source licenses,# non-open-source licenses,# source code files,# total lines of code,% of code lines,# total comment lines,% of comment lines,code-comment-ratio,average pylint score,# jupyter notebooks,% jupyter notebooks /w header,% jupyter notebooks /w footer,# random seed declaration lines,% fixed random seed lines,Model serialization used?,# hyperparameter logging indicators,% public available libraries in relation to all unique imports in source code (excl. local libs and python standard libs),# config files,OS specified in config file(s),# unique imports in config file(s),# unique imports in source code file(s),% strict unique imports in relation to all unique imports in config file(s),% specified unique (but not strict) imports in relation to all unique imports in config file(s),% unique imports used in source code + mentioned in config file(s) in relation to all used,dataset folders found?,# dataset folder candidates,# dataset file candidates,# found dataset file candidates mentioned in source code,% mentioned dataset files in relation to all found candidate files,out-of-the-box buildable with binderhub
https://github.com/gugarosa/loss_programming,1,90,90.0,1,0,1,100.0,1,1,0,17,535,51.64,501,48.36,1.07,0.0,0,0,0,3,100.0,No,0,100.0,1,No,4,5,25.0,75.0,80.0,No,0,0,0,0,No
https://github.com/HunBurry/machine_learning_for_self_driving_vehicles,0,0,0,0,0,0,0,0,0,0,1,76,43.43,99,56.57,0.77,-7.0,0,0,0,0,0,No,0,100.0,0,No,0,5,0,0,0.0,No,0,0,0,0,No
https://github.com/chhoteraja/COVID-19-In-India,1,2,2.0,0,0,0,0,0,0,0,1,82,85.42,14,14.58,5.86,5.49,0,0,0,1,0.0,No,0,100.0,0,No,0,6,0,0,0.0,No,0,0,0,0,No
https://github.com/bennati/primal_paper,1,2,2.0,1,1,0,0.0,1,1,0,19,2449,73.85,867,26.15,2.82,3.67,0,0,0,0,0,Yes,0,100.0,0,No,0,4,0,0,0.0,No,0,0,0,0,No
https://github.com/sayantanibasu/covid19-models,1,7,7.0,2,0,0,0.0,1,1,0,2,357,81.51,81,18.49,4.41,4.84,0,0,0,0,0,No,0,100.0,0,No,0,5,0,0,0.0,No,0,0,0,0,No
https://github.com/ASTAugustin/WNTK_Machine_Learning,1,4,4.0,1,0,0,0.0,0,0,0,15,1481,85.76,246,14.24,6.02,4.58,0,0,0,0,0,No,0,100.0,0,No,0,6,0,0,0.0,Yes,0,1,0,0.0,No
https://github.com/IDEALLab/design_method_recommendation_JMD_2014,1,32,32.0,1,1,0,0.0,1,1,0,4,629,80.95,148,19.05,4.25,0.99,0,0,0,2,50.0,Yes,0,100.0,0,No,0,6,0,0,0.0,No,0,0,0,0,No
https://github.com/dionoss/Machine-Learning-Airport-Passenger-Load-Factor-Prediction,0,0,0,0,0,0,0,1,1,0,5,220,96.49,8,3.51,27.5,3.18,0,0,0,4,100.0,Yes,0,83.33,0,No,0,6,0,0,0.0,No,0,0,0,0,No
https://github.com/Explainable-Hospital-Mortality/individual-SHAP-comparison,1,2,2.0,0,0,0,0,0,0,0,8,449,84.88,80,15.12,5.61,1.5,0,0,0,8,100.0,No,0,100.0,0,No,0,7,0,0,0.0,No,0,0,0,0,No
https://github.com/JohnnyY8/UODR,1,11,11.0,0,0,0,0,0,0,0,1,588,88.69,75,11.31,7.84,0.0,0,0,0,0,0,No,0,100.0,0,No,0,3,0,0,0.0,No,0,0,0,0,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,All: 8 excl. The 2 without readme,All: 8 excl. The 2 without readme,All: 8 excl. The 2 without readme,,All: 8 excl. The 2 without readme,50% have 1+ licenses,100% of those are os,,,,,,,,,,,,50% have a random seed declarated,of the ones that declarated a random seed:,30% used MS,0% used HP logging,,10% had 1+ config file,,,,,,"All: 1, 9 had no config file",10% have a dataset folder,,10% have 1+ ds file candidate,0% of the ds file candidates in source code,,
,,,Mean: 18.75,Mean: 0.75,Mean: 0.25,,Mean: 12.5%,,,,,,,,,Mean: 6.62,Mean: 1.73,,,,,Mean: 70%,,,Mean: 98.33%,,,"mean, median, min, max = 4",Mean: 5.3,"mean, median, min, max: 25%",,"mean, median, min, max: 80%",,,,,,
,,,Median: 5.5,Median: 1.5,Median: 0,,Median: 0%,,,,,,,,,Median: 5.01,Median: 2.34,,,,,Median: 100%,,,Median: 100%,,,,Median: 5.5,,,,,,,,,
,,,Min: 2,Min: 0,Min: 0,,Min: 0%,,,,,,,,,Min: 0.77,Min: -7,,,,,Min: 0%,,,Min: 83.33%,,,,Min: 3,,,,,,,,,
,,,Max: 90,Max: 2,Max: 1,,Max: 100%,,,,,,,,,Max: 27.5,Max: 5.49,,,,,Max: 100%,,,Max: 100%,,,,Max: 7,,,,,,,,,
